2022/2/4 下午 01:41:51,Visiter,Home,Index,N/A
2022/2/4 下午 01:43:27,Visiter,Home,Index,N/A
2022/2/4 下午 01:43:52,Visiter,Home,Index,N/A
2022/2/4 下午 01:44:23,Visiter,Home,Index,N/A
2022/2/4 下午 01:44:41,Visiter,Home,Index,N/A
2022/2/4 下午 01:44:47,Visiter,Activities,IntroductionIndex,N/A
2022/2/4 下午 01:44:50,Visiter,Activities,ActivityIndex,N/A
2022/2/4 下午 01:44:52,Visiter,Activities,KnowledgeIndex,N/A
2022/2/4 下午 01:44:55,Visiter,Adopts,Index,N/A
2022/2/4 下午 01:44:56,Visiter,Adopts,GetImage,C000000001
2022/2/4 下午 01:44:56,Visiter,Adopts,GetImage,T000000001
2022/2/4 下午 01:44:56,Visiter,Adopts,GetImage,E000000001
2022/2/4 下午 01:44:56,Visiter,Adopts,GetImage,T000000002
2022/2/4 下午 01:44:56,Visiter,Adopts,GetImage,D000000001
2022/2/4 下午 01:44:58,Visiter,Adopts,Details,C000000001
2022/2/4 下午 01:44:58,Visiter,Adopts,GetImage,C000000001
2022/2/4 下午 01:45:05,Visiter,Adopts,Details,T000000002
2022/2/4 下午 01:45:05,Visiter,Adopts,GetImage,T000000002
2022/2/4 下午 01:45:09,Visiter,Adopts,Delete,T000000002
2022/2/4 下午 01:45:09,Visiter,Adopts,Index,N/A
2022/2/4 下午 01:45:09,Visiter,Adopts,GetImage,C000000001
2022/2/4 下午 01:45:09,Visiter,Adopts,GetImage,D000000001
2022/2/4 下午 01:45:09,Visiter,Adopts,GetImage,E000000001
2022/2/4 下午 01:45:09,Visiter,Adopts,GetImage,T000000001
2022/2/4 下午 01:45:11,Visiter,Posts,Index,N/A
2022/2/4 下午 01:45:16,Visiter,Login,Login,N/A
2022/2/4 下午 01:45:22,21AAAAA,Login,Login,N/A
2022/2/4 下午 01:45:22,21AAAAA,Home,Index,N/A
2022/2/4 下午 01:45:32,21AAAAA,User,Details,N/A
2022/2/4 下午 01:45:33,21AAAAA,User,GetImage,21
2022/2/4 下午 01:45:42,Visiter,Login,Logout,N/A
2022/2/4 下午 01:45:42,Visiter,Login,Login,N/A
2022/2/4 下午 01:45:46,Visiter,Login,PwdForget,N/A
2022/2/4 下午 01:45:49,Visiter,Login,Register,N/A
2022/2/4 下午 01:50:18,Visiter,Login,Register,N/A
2022/2/4 下午 01:50:49,Visiter,Login,Register,N/A
2022/2/4 下午 01:56:39,Visiter,Home,Index,N/A
2022/2/4 下午 01:57:14,Visiter,Adopts,Index,N/A
2022/2/4 下午 01:57:15,Visiter,Adopts,GetImage,C000000001
2022/2/4 下午 01:57:15,Visiter,Adopts,GetImage,E000000001
2022/2/4 下午 01:57:15,Visiter,Adopts,GetImage,D000000001
2022/2/4 下午 01:57:15,Visiter,Adopts,GetImage,T000000001
2022/2/4 下午 02:09:26,Visiter,Adopts,Create,N/A
2022/2/4 下午 02:09:50,Visiter,Adopts,Create,N/A
2022/2/4 下午 02:10:01,Visiter,Adopts,Index,N/A
2022/2/4 下午 02:10:01,Visiter,Adopts,GetImage,T000000001
2022/2/4 下午 02:10:01,Visiter,Adopts,GetImage,D000000001
2022/2/4 下午 02:10:01,Visiter,Adopts,GetImage,E000000001
2022/2/4 下午 02:10:29,Visiter,Adopts,Create,N/A
